impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-096423,A519047,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1665136,LOST,"Shaka, Tilly",Dog,,Female,Akita,Unknown,01/21/2017 12:00:00 AM,Date Lost,WATER TOWER JUST NORTH OF SEATAC AIRPORT,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1665136,Image Copyright HLP Inc. 2017,"WATER TOWER JUST NORTH OF SEATAC AIRPORT
",
K17-096331,A518804,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1663312,LOST,Chino,Cat,,Male,Domestic Shorthair,Unknown,01/15/2017 12:00:00 AM,Date Lost,1200 NW 191ST ST,SHORELINE,WA,98177,SHORELINE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1663312,Image Copyright HLP Inc. 2017,"1200 NW 191ST ST
SHORELINE, WA 98177
",
K17-097018,A521220,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1679613,In Public Home,,Cat,,Male,American Shorthair,Black / White,02/25/2017 12:00:00 AM,Date Found,12800 60TH LN S,SEATTLE,WA,98178,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1679613,Image Copyright HLP Inc. 2017,"12800 60TH LN S
SEATTLE, WA 98178
",
K17-096775,A520356,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1673881,LOST,Siena,Dog,,Female,German Shepherd,Unknown,02/11/2017 12:00:00 AM,Date Lost,500 FERNDALE AVE NE,RENTON,WA,98056,RENTON,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1673881,Image Copyright HLP Inc. 2017,"500 FERNDALE AVE NE
RENTON, WA 98056
",
K17-096826,A520575,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1674689,LOST,Dice,Cat,,Female,Domestic Longhair,Unknown,02/11/2017 12:00:00 AM,Date Lost,25100 12TH AVE S,DES MOINES,WA,98198,DES MOINES,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1674689,Image Copyright HLP Inc. 2017,"25100 12TH AVE S
DES MOINES, WA 98198
",
K17-096929,A520748,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1677388,LOST,Dora,Dog,,Female,Chihuahua - Smooth Coated,Unknown,02/18/2017 12:00:00 AM,Date Lost,31500 1ST AVE S,FEDERAL WAY,WA,98003,FEDERAL WAY,47.319043,-122.334243,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1677388,Image Copyright HLP Inc. 2017,"31500 1ST AVE S
FEDERAL WAY, WA 98003
(47.319043, -122.334243)",
K17-096372,A518905,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1663996,LOST,Indy,Dog,,Male,Australian Shepherd,Unknown,01/19/2017 12:00:00 AM,Date Lost,3825 MCLAUGHLIN AVE #213,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1663996,Image Copyright HLP Inc. 2017,"3825 MCLAUGHLIN AVE #213
",
K17-096358,A518886,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1663751,LOST,Dante,Dog,,Male,Kangal,Unknown,01/18/2017 12:00:00 AM,Date Lost,289TH AVE NE,NE 10T,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1663751,Image Copyright HLP Inc. 2017,"289TH AVE NE
NE 10T
",
K17-096908,A520722,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1676528,LOST,Cafe,Dog,,Male,Chihuahua - Smooth Coated,Unknown,02/12/2017 12:00:00 AM,Date Lost,10500 SE 238TH ST,KENT,WA,98031,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1676528,Image Copyright HLP Inc. 2017,"10500 SE 238TH ST
KENT, WA 98031
",
K17-096743,A520262,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1672758,LOST,Jazzman,Dog,,Female,Labrador Retriever,Unknown,02/09/2017 12:00:00 AM,Date Lost,108 AND 213,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1672758,Image Copyright HLP Inc. 2017,"108 AND 213
",
K17-096970,A521079,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1678493,LOST,Grace,Dog,,Female,Cocker Spaniel,Unknown,02/23/2017 12:00:00 AM,Date Lost,2400 S 116TH WAY,BURIEN,WA,98168,BURIEN,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1678493,Image Copyright HLP Inc. 2017,"2400 S 116TH WAY
BURIEN, WA 98168
",
K17-096471,A519274,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1666070,In Public Home,,Dog,,Male,Maltese,White,01/24/2017 12:00:00 AM,Date Found,4200 95TH AVE NE,YARROW POINT,WA,98004,YARROW POINT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1666070,Image Copyright HLP Inc. 2017,"4200 95TH AVE NE
YARROW POINT, WA 98004
",
K17-096289,A518572,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1661758,LOST,Emo,Dog,,Female,Boxer,Unknown,01/14/2017 12:00:00 AM,Date Lost,196TH PL SE / SE 262ND ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1661758,Image Copyright HLP Inc. 2017,"196TH PL SE / SE 262ND ST
",
K17-096381,A518946,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1664237,LOST,Bruce,Dog,,Male,American Pit Bull Terrier,Unknown,01/18/2017 12:00:00 AM,Date Lost,7TH AND DIRECTOR S,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1664237,Image Copyright HLP Inc. 2017,"7TH AND DIRECTOR S
",
K17-096472,A519275,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1666070,In Public Home,,Dog,,Male,Maltese,White,01/24/2017 12:00:00 AM,Date Found,4200 95TH AVE NE,YARROW POINT,WA,98004,YARROW POINT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1666070,Image Copyright HLP Inc. 2017,"4200 95TH AVE NE
YARROW POINT, WA 98004
",
K17-096424,A519048,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1665206,LOST,Blacky,Dog,,Male,American Pit Bull Terrier,Unknown,01/20/2017 12:00:00 AM,Date Lost,1320 N. REDINGTON ST.,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1665206,Image Copyright HLP Inc. 2017,"1320 N. REDINGTON ST.
",
K17-096993,A521193,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1679046,LOST,Daisy  (mimi,Cat,,Female,Domestic Shorthair,Unknown,02/22/2017 12:00:00 AM,Date Lost,21500 SE 292ND CT,KENT,WA,98042,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1679046,Image Copyright HLP Inc. 2017,"21500 SE 292ND CT
KENT, WA 98042
",
K17-096777,A520428,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1674064,LOST,Clover,Cat,,Female,Domestic Shorthair,Unknown,02/12/2017 12:00:00 AM,Date Lost,6100 NE 193RD PL,KENMORE,WA,98028,KENMORE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1674064,Image Copyright HLP Inc. 2017,"6100 NE 193RD PL
KENMORE, WA 98028
",
K17-096975,A521131,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1678615,In Public Home,,Dog,,Male,Dachshund - Long-Haired,Unknown,02/23/2017 12:00:00 AM,Date Found,,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1678615,Image Copyright HLP Inc. 2017,,
K17-096976,A521132,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1678618,LOST,Pepper,Bird,,Female,Fowl,Unknown,02/17/2017 12:00:00 AM,Date Lost,3600 232ND ST SW,BRIER,WA,98036,SNOHOMISH COUNT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1678618,Image Copyright HLP Inc. 2017,"3600 232ND ST SW
BRIER, WA 98036
",
K17-096874,A520695,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1675971,LOST,Oliver,Cat,,Male,Siamese,Unknown,02/16/2017 12:00:00 AM,Date Lost,2400 124TH PL NE,BELLEVUE,WA,98005,BELLEVUE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1675971,Image Copyright HLP Inc. 2017,"2400 124TH PL NE
BELLEVUE, WA 98005
",
K17-096833,A520605,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1675082,LOST,Kingston,Cat,,Male,Turkish Van,Unknown,02/13/2017 12:00:00 AM,Date Lost,14800 SE 279TH PL,KENT,WA,98042,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1675082,Image Copyright HLP Inc. 2017,"14800 SE 279TH PL
KENT, WA 98042
",
K17-096606,A519713,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1669070,LOST,Nova,Cat,,Male,Domestic Shorthair,Unknown,01/30/2017 12:00:00 AM,Date Lost,S 298TH ST AND MILITARY,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1669070,Image Copyright HLP Inc. 2017,"S 298TH ST AND MILITARY
",
K17-096994,A521194,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1679058,LOST,Minion,Dog,,Female,Great Pyrenees,Unknown,02/24/2017 12:00:00 AM,Date Lost,20400 SE PIPE LINE RD,RENTON,WA,98058,KING COUNTY,47.420798,-122.06904,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1679058,Image Copyright HLP Inc. 2017,"20400 SE PIPE LINE RD
RENTON, WA 98058
(47.420798, -122.06904)",
K17-096745,A520301,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1672943,LOST,Luigi,Dog,,,West Highland White Terrier,Unknown,02/08/2017 12:00:00 AM,Date Lost,6200 116TH AVE NE,KIRKLAND,WA,98033,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1672943,Image Copyright HLP Inc. 2017,"6200 116TH AVE NE
KIRKLAND, WA 98033
",
K17-096828,A520578,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1674714,LOST,Chelse,Dog,,Female,German Shepherd,Unknown,02/13/2017 12:00:00 AM,Date Lost,34800 27TH AVE S,FEDERAL WAY,WA,98003,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1674714,Image Copyright HLP Inc. 2017,"34800 27TH AVE S
FEDERAL WAY, WA 98003
",
K17-096982,A521159,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1678878,LOST,Stella,Cat,,Female,Domestic Shorthair,Unknown,02/23/2017 12:00:00 AM,Date Lost,1800 NE 189TH ST,SHORELINE,WA,98155,SHORELINE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1678878,Image Copyright HLP Inc. 2017,"1800 NE 189TH ST
SHORELINE, WA 98155
",
K17-096922,A520739,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1676891,LOST,Diamond,Dog,,Female,Rat Terrier,Unknown,02/08/2017 12:00:00 AM,Date Lost,28700 138TH PL SE,KENT,WA,98042,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1676891,Image Copyright HLP Inc. 2017,"28700 138TH PL SE
KENT, WA 98042
",
K17-096385,A519003,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1664302,In Public Home,,Bird,,,Domestic,Unknown,01/20/2017 12:00:00 AM,Date Found,165TH STREET AND 9TH AVENUE NE,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1664302,Image Copyright HLP Inc. 2017,"165TH STREET AND 9TH AVENUE NE
",
K17-096451,A519173,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1665640,LOST,Bella,Dog,,Female,American Pit Bull Terrier,Unknown,01/23/2017 12:00:00 AM,Date Lost,171 AVE SE AND 136TH,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1665640,Image Copyright HLP Inc. 2017,"171 AVE SE AND 136TH
",
K17-096879,A520699,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1676023,LOST,Juniper,Cat,,Female,Domestic Shorthair,Unknown,02/16/2017 12:00:00 AM,Date Lost,55TH AVE. NE AND NE 195TH ST.,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1676023,Image Copyright HLP Inc. 2017,"55TH AVE. NE AND NE 195TH ST.
",
K17-096951,A520921,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1677937,LOST,Alexa,Dog,,Female,Pit Bull,Unknown,01/25/2017 12:00:00 AM,Date Lost,11729 SE 221ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1677937,Image Copyright HLP Inc. 2017,"11729 SE 221ST
",
K17-096407,A519032,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1664704,LOST,,Dog,,Male,Beagle,Unknown,01/21/2017 12:00:00 AM,Date Lost,11000 ROSEBERG AVE S,BURIEN,WA,98168,BURIEN,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1664704,Image Copyright HLP Inc. 2017,"11000 ROSEBERG AVE S
BURIEN, WA 98168
",
K17-096416,A519042,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1665037,LOST,Vienna,Cat,,Female,Domestic Shorthair,Unknown,01/16/2017 12:00:00 AM,Date Lost,11900 NE 153RD PL,KIRKLAND,WA,98034,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1665037,Image Copyright HLP Inc. 2017,"11900 NE 153RD PL
KIRKLAND, WA 98034
",
K17-096930,A520749,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1677410,LOST,Sam,Cat,,Male,Siamese,Unknown,02/14/2017 12:00:00 AM,Date Lost,13700 SE 272ND ST,KENT,WA,98042,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1677410,Image Copyright HLP Inc. 2017,"13700 SE 272ND ST
KENT, WA 98042
",
K17-096608,A519733,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1669171,LOST,Lucy,Dog,,Female,Miniature Pinscher,Unknown,01/31/2017 12:00:00 AM,Date Lost,17200 51ST AVE S,SEATAC,WA,98188,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1669171,Image Copyright HLP Inc. 2017,"17200 51ST AVE S
SEATAC, WA 98188
",
K17-096763,A520336,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1673357,LOST,Landry,Dog,,Male,Siberian Husky,Unknown,02/11/2017 12:00:00 AM,Date Lost,22200 123RD PL SE,KENT,WA,98031,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1673357,Image Copyright HLP Inc. 2017,"22200 123RD PL SE
KENT, WA 98031
",
K17-096969,A521072,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1678487,LOST,Grace,Dog,,Female,Cocker Spaniel,Unknown,02/23/2017 12:00:00 AM,Date Lost,2400 S 116TH WAY,BURIEN,WA,98168,BURIEN,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1678487,Image Copyright HLP Inc. 2017,"2400 S 116TH WAY
BURIEN, WA 98168
",
K17-096916,A520734,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1676714,LOST,Trixie,Cat,,Female,Domestic Shorthair,Unknown,02/18/2017 12:00:00 AM,Date Lost,4700 S 318TH ST,AUBURN,WA,98001,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1676714,Image Copyright HLP Inc. 2017,"4700 S 318TH ST
AUBURN, WA 98001
",
K17-097019,A521221,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1679629,In Public Home,,Cat,,Female,Domestic Shorthair,Brown / White,02/20/2017 12:00:00 AM,Date Found,NE 145TH AND JUANITA-WOODINVILLE WAY NE,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1679629,Image Copyright HLP Inc. 2017,"NE 145TH AND JUANITA-WOODINVILLE WAY NE
",
K17-096409,A519034,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1664873,LOST,Indy,Dog,,Male,Anatolian Shepherd,Unknown,01/19/2017 12:00:00 AM,Date Lost,10100 NE 137TH PL,KIRKLAND,WA,98034,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1664873,Image Copyright HLP Inc. 2017,"10100 NE 137TH PL
KIRKLAND, WA 98034
",
K17-096300,A518585,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1662614,LOST,Sneeki,Cat,,,Maine Coon,Unknown,01/15/2017 12:00:00 AM,Date Lost,BEACON AVE S. AND S. BRANDON ST.,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1662614,Image Copyright HLP Inc. 2017,"BEACON AVE S. AND S. BRANDON ST.
",
